Timestamp,Violation,Image_Path
2026-07-22 13:05:20,Violation: No Helmet No Vest,static/violations/violation_20260722_130520.jpg
2026-07-22 13:05:23,Violation: No Helmet No Vest,static/violations/violation_20260722_130523.jpg
2026-07-22 13:05:26,Violation: No Helmet No Vest,static/violations/violation_20260722_130526.jpg
2026-07-22 13:05:29,Violation: No Helmet No Vest,static/violations/violation_20260722_130529.jpg
2026-07-22 13:05:32,Violation: No Helmet No Vest,static/violations/violation_20260722_130532.jpg
2026-07-22 13:05:35,Violation: No Helmet No Vest,static/violations/violation_20260722_130535.jpg
2026-07-22 13:05:38,Violation: No Helmet No Vest,static/violations/violation_20260722_130538.jpg
2026-07-22 13:05:41,Violation: No Helmet No Vest,static/violations/violation_20260722_130541.jpg
2026-07-22 13:06:12,Violation: No Helmet No Vest,static/violations/violation_20260722_130612.jpg
2026-07-22 13:06:15,Violation: No Helmet No Vest,static/violations/violation_20260722_130615.jpg
2026-07-22 13:06:19,Violation: No Helmet No Vest,static/violations/violation_20260722_130619.jpg
2026-07-22 13:06:22,Violation: No Helmet No Vest,static/violations/violation_20260722_130622.jpg
2026-07-22 13:06:25,Violation: No Helmet No Vest,static/violations/violation_20260722_130625.jpg
2026-07-22 13:06:28,Violation: No Helmet No Vest,static/violations/violation_20260722_130628.jpg
2026-07-22 13:06:31,Violation: No Helmet No Vest,static/violations/violation_20260722_130631.jpg
2026-07-22 13:06:34,Violation: No Helmet No Vest,static/violations/violation_20260722_130634.jpg
2026-07-22 13:06:37,Violation: No Helmet No Vest,static/violations/violation_20260722_130637.jpg
2026-07-22 13:06:40,Violation: No Helmet No Vest,static/violations/violation_20260722_130640.jpg
2026-07-22 13:06:43,Violation: No Helmet No Vest,static/violations/violation_20260722_130643.jpg
2026-07-22 13:06:46,Violation: No Helmet No Vest,static/violations/violation_20260722_130646.jpg
2026-07-22 13:07:11,Violation: No Helmet No Vest,static/violations/violation_20260722_130711.jpg
2026-07-22 13:07:14,Violation: No Helmet No Vest,static/violations/violation_20260722_130714.jpg
2026-07-22 13:07:17,Violation: No Helmet No Vest,static/violations/violation_20260722_130717.jpg
2026-07-22 13:07:20,Violation: No Helmet No Vest,static/violations/violation_20260722_130720.jpg
2026-07-22 13:07:23,Violation: No Helmet No Vest,static/violations/violation_20260722_130723.jpg
2026-07-22 13:07:26,Violation: No Helmet No Vest,static/violations/violation_20260722_130726.jpg
2026-07-22 13:37:32,Violation 0.37,static/violations/violation_20260722_133732.jpg
2026-07-22 13:37:35,Violation 0.77,static/violations/violation_20260722_133735.jpg
2026-07-22 13:37:38,Violation 0.79,static/violations/violation_20260722_133738.jpg
2026-07-22 13:37:41,Violation 0.82,static/violations/violation_20260722_133741.jpg
2026-07-22 13:37:44,Violation 0.81,static/violations/violation_20260722_133744.jpg
2026-07-22 13:37:47,Violation 0.83,static/violations/violation_20260722_133747.jpg
2026-07-22 13:37:50,Violation 0.25,static/violations/violation_20260722_133750.jpg
2026-07-22 13:37:54,Violation 0.35,static/violations/violation_20260722_133754.jpg
2026-07-22 13:38:25,Violation 0.35,static/violations/violation_20260722_133825.jpg
2026-07-22 13:38:37,Violation 0.48,static/violations/violation_20260722_133837.jpg
2026-07-22 13:38:41,Violation 0.27,static/violations/violation_20260722_133841.jpg
2026-07-22 13:38:44,Violation 0.34,static/violations/violation_20260722_133844.jpg
2026-07-22 13:40:48,Violation 0.26,static/violations/violation_20260722_134048.jpg
2026-07-22 13:40:53,Violation 0.39,static/violations/violation_20260722_134053.jpg
2026-07-22 13:41:18,Violation 0.31,static/violations/violation_20260722_134118.jpg
2026-07-22 13:41:21,Violation 0.25,static/violations/violation_20260722_134121.jpg
2026-07-22 13:41:24,Violation 0.34,static/violations/violation_20260722_134124.jpg
2026-07-22 13:41:28,Violation 0.27,static/violations/violation_20260722_134128.jpg
2026-07-22 13:42:41,Violation 0.44,static/violations/violation_20260722_134241.jpg
2026-07-22 13:42:46,Violation 0.31,static/violations/violation_20260722_134246.jpg
2026-07-22 13:42:52,Violation 0.32,static/violations/violation_20260722_134252.jpg
2026-07-22 13:44:04,Violation 0.41,static/violations/violation_20260722_134404.jpg
2026-07-22 13:44:23,Violation 0.30,static/violations/violation_20260722_134423.jpg
2026-07-22 13:44:26,Violation 0.59,static/violations/violation_20260722_134426.jpg
2026-07-22 13:44:29,Violation 0.74,static/violations/violation_20260722_134429.jpg
